episode:1, reward: -50, mean reward: -4.71, score: -47.06290235175012, epsilon: 0.9902088059587222, total steps: 519
episode:2, reward: -50, mean reward: -10.24, score: -51.17786458149264, epsilon: 0.9901147897790136, total steps: 524
episode:3, reward: -50, mean reward: -16.73, score: -50.18552147963574, epsilon: 0.9900583845837996, total steps: 527
episode:4, reward: -50, mean reward: -9.97, score: -49.85227240944822, epsilon: 0.9899643834454765, total steps: 532
episode:5, reward: -50, mean reward: -2.5, score: -44.984516676761736, epsilon: 0.9896260571698198, total steps: 550
episode:6, reward: -50, mean reward: -16.73, score: -50.18258978097795, epsilon: 0.9895696812976826, total steps: 553
episode:7, reward: -50, mean reward: -9.81, score: -49.073611298503295, epsilon: 0.9894757290272447, total steps: 558
episode:8, reward: -50, mean reward: -9.71, score: -48.53640056171068, epsilon: 0.989381786151564, total steps: 563
episode:9, reward: -50, mean reward: -10.15, score: -50.73348305019864, epsilon: 0.9892878526697012, total steps: 568
episode:10, reward: -50, mean reward: -6.46, score: -51.6649267891772, epsilon: 0.9891375786355174, total steps: 576
episode:11, reward: -50, mean reward: -1.98, score: -43.54261186122468, epsilon: 0.9887244489961036, total steps: 598
episode:12, reward: -50, mean reward: -12.31, score: -49.23832683798889, epsilon: 0.9886493540440221, total steps: 602
episode:13, reward: -50, mean reward: -16.75, score: -50.240014445796575, epsilon: 0.9885930367723144, total steps: 605
episode:14, reward: -50, mean reward: -9.95, score: -49.76617449888738, epsilon: 0.9884991821614459, total steps: 610
episode:15, reward: -50, mean reward: -16.73, score: -50.203816494345105, epsilon: 0.988442873899781, total steps: 613
episode:16, reward: -50, mean reward: -12.34, score: -49.35791918039574, epsilon: 0.9883678014728061, total steps: 617
episode:17, reward: -50, mean reward: -9.94, score: -49.721253435829695, epsilon: 0.9882739693843415, total steps: 622
episode:18, reward: -50, mean reward: -16.78, score: -50.34947576974953, epsilon: 0.9882176746350377, total steps: 625
episode:19, reward: -50, mean reward: -12.31, score: -49.24840775656622, epsilon: 0.9881426202232835, total steps: 629
episode:20, reward: -50, mean reward: -16.79, score: -50.36579187400814, epsilon: 0.988086333354693, total steps: 632
episode:21, reward: -50, mean reward: -5.29, score: -47.60024110585696, epsilon: 0.987917493010776, total steps: 641
episode:22, reward: -50, mean reward: -16.81, score: -50.41748928736811, epsilon: 0.987861219649413, total steps: 644
episode:23, reward: -50, mean reward: -4.54, score: -49.92089516875636, epsilon: 0.9876549128756674, total steps: 655
episode:24, reward: -50, mean reward: -4.51, score: -49.62461577680355, epsilon: 0.9874486514844197, total steps: 666
episode:25, reward: -50, mean reward: -10.01, score: -50.04576664062705, epsilon: 0.9873549113063583, total steps: 671
episode:26, reward: -50, mean reward: -7.96, score: -47.741242958102305, epsilon: 0.987242435465687, total steps: 677
episode:27, reward: -50, mean reward: -6.62, score: -52.984737311419195, epsilon: 0.9870924886720759, total steps: 685
episode:28, reward: -50, mean reward: -5.33, score: -47.99860711908437, epsilon: 0.9869238272041024, total steps: 694
episode:29, reward: -50, mean reward: -5.34, score: -48.053781243977326, epsilon: 0.986755196092461, total steps: 703
episode:30, reward: -50, mean reward: -16.81, score: -50.42737739699034, epsilon: 0.9866989924668211, total steps: 706
episode:31, reward: -50, mean reward: -12.69, score: -50.75737872366709, epsilon: 0.9866240595447805, total steps: 710
episode:32, reward: -50, mean reward: -10.05, score: -50.26391976150636, epsilon: 0.9865304018217903, total steps: 715
episode:33, reward: -50, mean reward: -3.42, score: -51.36194482038289, epsilon: 0.9862494848408977, total steps: 730
episode:34, reward: -50, mean reward: -5.47, score: -49.224154515368014, epsilon: 0.986080975099958, total steps: 739
episode:35, reward: -50, mean reward: -10.26, score: -51.294802408851055, epsilon: 0.9859873716826969, total steps: 744
episode:36, reward: -50, mean reward: -9.68, score: -48.41683874772443, epsilon: 0.9858937776253095, total steps: 749
episode:37, reward: -50, mean reward: -4.05, score: -48.561461955948616, epsilon: 0.9856691900702641, total steps: 761
episode:38, reward: -50, mean reward: -12.29, score: -49.15590542247347, epsilon: 0.98559433952912, total steps: 765
episode:39, reward: -50, mean reward: -5.04, score: -50.3799601528863, epsilon: 0.9854072393718535, total steps: 775
episode:40, reward: -50, mean reward: -16.73, score: -50.189549166028726, epsilon: 0.9853511166211906, total steps: 778
episode:41, reward: -50, mean reward: -5.58, score: -50.21700709164147, epsilon: 0.9851827685719777, total steps: 787
episode:42, reward: -50, mean reward: -12.73, score: -50.90026958286579, epsilon: 0.985107956942997, total steps: 791
episode:43, reward: -50, mean reward: -16.79, score: -50.36583308627644, epsilon: 0.9850518521487411, total steps: 794
episode:44, reward: -50, mean reward: -16.76, score: -50.271448208182946, epsilon: 0.9849957507206719, total steps: 797
episode:45, reward: -50, mean reward: -4.46, score: -49.00932292978831, epsilon: 0.9847900742807513, total steps: 808
episode:46, reward: -50, mean reward: -16.83, score: -50.49299373806083, epsilon: 0.9847339885588829, total steps: 811
episode:47, reward: -50, mean reward: -16.73, score: -50.19835536583176, epsilon: 0.984677906202057, total steps: 814
episode:48, reward: -50, mean reward: -12.78, score: -51.12209057518619, epsilon: 0.9846031349604503, total steps: 818
episode:49, reward: -50, mean reward: -6.02, score: -48.17172773108333, epsilon: 0.9844536104211388, total steps: 826
episode:50, reward: -50, mean reward: -5.46, score: -49.115105625555366, epsilon: 0.9842854239085032, total steps: 835
episode:51, reward: -50, mean reward: -6.3, score: -50.42534997643983, epsilon: 0.9841359501988935, total steps: 843
